input_row_key,input_company_name,input_main_country_code,input_main_country,input_main_region,input_main_city,input_main_postcode,input_main_street,input_main_street_number
141,Digi Telecommunications Sdn. Bhd.,MY,Malaysia,Selangor,Petaling Jaya,46200,Jalan Professor Khoo Kay Kim,
142,DK HOSTMASTER A/S,DK,Denmark,North Denmark Region,Aalborg Municipality,9430,Thisted Landevej,108
143,DNA OYJ,FI,Finland,,,,,
144,DNB Bank Karl Johan,NO,Norway,Oslo,Oslo,191,Dronning Eufemias Gate,30
145,"DET NORSKE VERITAS, BUSINESS ASSURANCE, DANMARK A/S",DK,Denmark,Capital Region Of Denmark,Gentofte Municipality,2900,Tuborg Parkvej,2026-08-02 00:00:00
146,Dtac Trinet Co Ltd,TH,Thailand,Bangkok,Bangkok,10330,,
147,DUBEX A/S,DK,Denmark,Capital Region Of Denmark,Gladsaxe Municipality,2860,Gyngemose Parkvej,50
148,DXC TECHNOLOGY NORGE AS,NO,Norway,Vestland,Bergen,5147,Folke Bernadottes Vei,38
149,DXC Technology Sverige AB,SE,Sweden,Stockholm County,Solna,,,
15,ADECCO A/S,DK,Denmark,Capital Region Of Denmark,Kongens Lyngby,2800,Lyngby Hovedgade,60
150,Dynamic-Telecommunication Sdn. Bhd.,MY,Malaysia,Johor,Ulu Tiram,81800,Jalan Cantik,50 & 50a
151,EASTCOMPEACE (SINGAPORE) PTE. LTD.,SG,Singapore,Central,Singapore,560501,Ang Mo Kio Avenue 5,7030
152,EASTCOMPEACE SMART CARD (BANGLADESH) LIMITED,BD,Bangladesh,,,,,
153,"Eastcompeace Technology Co.,Ltd",CN,China,Guangdong Province,Zhuhai,,,
154,Ecapacity A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,1577,Bernstorffsgade,21
155,ECI Media Management AB,SE,Sweden,Stockholm County,Stockholm,11853,Maria Skolgata,83
156,ECI MEDIA MANAGEMENT AB,SE,Sweden,,,,,
157,Edotco Group Sdn. Bhd.,MY,Malaysia,Kuala Lumpur,Kuala Lumpur,50470,,
158,EDOTCO TOWERS PAKISTAN (PRIVATE) LIMITED,PK,Pakistan,,,,,
159,Egencia Denmark A/S,DK,Denmark,Capital Region Of Denmark,Elsinore,3000,19,19
16,ADECCO PERSONNEL PTE LTD,SG,Singapore,,,,,
160,EGENCIA LLC,US,United States,Florida,,,,
161,EGENCIA NORWAY AS,NO,Norway,Oslo,Oslo,160,Tordenskiolds Gate,8
162,Egencia Sweden AB,SE,Sweden,Stockholm County,Stockholm,11743,Fredsborgsgatan,24
163,Egeneration Limited,BD,Bangladesh,Dhaka Division,Dhaka,,,
164,ELGIGANTEN GROSSIST A/S,DK,Denmark,Capital Region Of Denmark,Glostrup,2600,Hovedvejen,169173
165,ELTEL NETWORKS CONNECT A/S,DK,Denmark,Capital Region Of Denmark,Herlev,2730,Hørkær,3
166,Energy Cool ApS,DK,Denmark,Region Of Southern Denmark,Fredericia Municipality,7000,Snaremosevej,188A
167,ENETEK POWER SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,PL,Poland,Holy Cross Voivodeship,Dobra,,Dobra,4e
168,ENERGI HOBRO TELE A/S,DK,Denmark,Central Denmark Region,Silkeborg,8600,Tietgensvej,4
169,Enreach Campaigns A/S,DK,Denmark,Capital Region Of Denmark,Gladsaxe Municipality,2860,Tobaksvejen,25
17,ADOBE SYSTEMS SOFTWARE IRELAND LIMITED,IE,Ireland,Leinster,Dublin,D24 DCW0,,
170,Ericsson (Malaysia) Sdn. Bhd.,MY,Malaysia,Selangor,Petaling Jaya,46150,,
171,Ericsson (Thailand) Limited,TH,Thailand,Bangkok,Chatuchak,10900,Vibhavadi Rangsit Road,2200
172,ERICSSON AB,SE,Sweden,,,,,
173,ERICSSON AS,NO,Norway,Viken,Bærum,1364,Rolfsbuktveien,4F
174,ERICSSON DANMARK A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,2300,Ørestads Boulevard,108
175,ERNST & YOUNG LLP,SG,Singapore,Central,Singapore,48583,Raffles Quay,1
176,EY Godkendt Revisionspartnerselskab,DK,Denmark,Capital Region Of Denmark,Frederiksberg Municipality,2000,Dirch Passers Allé,36
177,ERP DENMARK ApS,DK,Denmark,Region Of Southern Denmark,Nyborg,5800,Lindholm Havnevej,31 2
178,Estel Technologies Private Limited,IN,India,Haryana,Gurugram District,122002,,
179,EUTELSAT S.A.,FR,France,Ile-de-France,Paris,75015,Rue Balard,
18,ADVANCED DIGITAL BROADCAST SA,CH,Switzerland,Geneva,Bellevue,1293,Route De Lausanne,319
180,Ework Group AB (Publ),SE,Sweden,Stockholm County,Stockholm,11121,Mäster Samuelsgatan,60
181,EWORK NORDIC ApS,DK,Denmark,Capital Region Of Denmark,Copenhagen,1609,Axeltorv,2F
182,EWORK GROUP NORWAY AS,NO,Norway,Oslo,Oslo,158,Akersgata,16
183,EXFO Ltd.,FI,Finland,North Ostrobothnia,Oulu,90570,Elektroniikkatie,2 A
184,EXIDE TECHNOLOGIES AS,NO,Norway,Viken,Ullensaker,2040,Dyrskuevegen,3
185,EXPRESS PUBLICATIONS (PVT.) LIMITED,PK,Pakistan,,,,,
186,Extenda Retail AS Avd Oslo,NO,Norway,Vestfold Og Telemark,Tønsberg,3157,Wirgenes Vei,19
187,F5 NETWORKS LIMITED,GB,United Kingdom,England,Chertsey,KT16 8AP,London Street,43-47
188,FACEBOOK IRELAND LIMITED,IE,Ireland,Leinster,Dublin,,,
189,Falck Danmark A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,2450,Sydhavnsgade,18
19,Advanced Network Solutions Sdn Bhd,MY,Malaysia,Selangor,Shah Alam,40150,,
190,Fastbridge Malaysia Sdn Bhd,MY,Malaysia,Selangor,Petaling Jaya,46100,Jalan 51A/223,
191,Favro Holding AB,SE,Sweden,Uppsala County,Uppsala,75310,Drottninggatan,2
192,Fiberail Sdn. Bhd.,MY,Malaysia,Kuala Lumpur,Kuala Lumpur,58100,Jalan 1/109F,
193,Fibrecomm Network (M) Sdn. Bhd.,MY,Malaysia,Kuala Lumpur,Kuala Lumpur,59200,Jalan Pantai Baharu,
194,DANSK HALON TEKNIK ApS,DK,Denmark,Capital Region Of Denmark,Hillerød,3400,Vølundsvej,17
195,FORM DANMARK ApS,DK,Denmark,Central Denmark Region,Odder Municipality,8300,,
196,SYKES ENTERPRISES NORWAY AS,NO,Norway,Vestland,Bergen,5147,Folke Bernadottes Vei,50
197,GARTNER ADVISORY (SINGAPORE) PTE LTD,SG,Singapore,Central,Singapore,38986,Temasek Boulevard,6
198,GARTNER NORGE AS,NO,Norway,Oslo,Oslo,277,Karenslyst Allé,57
199,GBT TRAVEL SERVICES UK LIMITED,GB,United Kingdom,England,London,E14 5HU,Churchill Place,5
2,3 STEP IT A/S,DK,Denmark,Region Of Southern Denmark,Tønder Municipality,,,
20,ADVANSIA AS,NO,Norway,Oslo,Oslo,283,Lilleakerveien,8
200,Genex Infosys Limited,BD,Bangladesh,Dhaka Division,Dhaka,,,
201,GEO ENTERTAINMENT TELEVISION (PVT.) LIMITED,PK,Pakistan,,,,,
202,GINTEL AS,NO,Norway,Trøndelag,Trondheim,7052,Otto Nielsens Veg,12
203,GLOBALCONNECT A/S,DK,Denmark,Capital Region Of Denmark,Høje-Taastrup Municipality,2630,,
204,Glory Fashions Ltd.,BD,Bangladesh,Dhaka Division,Dhaka,2467,New Airport Road,
205,Goecker Service A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,2400,Svanevej,24
206,GOGIFT.COM A/S,DK,Denmark,,,,,
207,Google Asia Pacific Pte. Ltd.,SG,Singapore,Central,Singapore,18981,Marina View,8
208,Google Cloud EMEA Limited,IE,Ireland,Leinster,,,,
209,GOOGLE COMMERCE LIMITED,IE,Ireland,,,,,
21,AEGER GROUP AS,NO,Norway,Oslo,Oslo,158,,
210,GOOGLE IRELAND LIMITED,IE,Ireland,Leinster,Dublin 4,D04 R674,Barrow Street,
211,GRAMEENPHONE LTD,BD,Bangladesh,,,,,
212,Grassfish Denmark ApS,DK,Denmark,Central Denmark Region,Aarhus Municipality,8260,Fabrikvej,11b
213,Green Packet Berhad,MY,Malaysia,Selangor,Petaling Jaya,47301,Jalan SS 7/26A,
214,GreenMind A/S,DK,Denmark,Capital Region Of Denmark,Gladsaxe Municipality,2880,Brudelysvej,23
215,grey advertising ( bangladesh) ltd.,BD,Bangladesh,,,,,
216,GSM ASSOCIATION,GB,United Kingdom,England,London,EC4R 3AB,Angel Lane,1
217,"HARBIN COSLIGHT NEW ENERGY CO., LTD.",CN,China,Heilongjiang,Harbin,150078,,
218,HE SIKRING A/S,DK,Denmark,Capital Region Of Denmark,Furesø Municipality,3500,,
219,HELP Forsakring filial,SE,Sweden,,,,,
22,AFFIRMED NETWORKS INC,US,United States,Massachusetts,Acton,1720,Nagog Park,35
220,HELP FORSIKRING AS,NO,Norway,Oslo,Oslo,368,Essendrops Gate,3
221,"HELP FORSIKRING,FILIAL AF HELP FORSIKRING AS, NORGE",DK,Denmark,Capital Region Of Denmark,Copenhagen,1401,Strandgade,12
222,HERM. RASMUSSEN A/S,DK,Denmark,Central Denmark Region,Silkeborg Municipality,8600,,
223,HEST AGENTUR AS,NO,Norway,Oslo,Oslo,461,Maridalsveien,87B
224,HETEK A/S,DK,Denmark,Region Of Southern Denmark,Vejle,7100,Niels Finsensvej,9
225,Hewlett-Packard (M) Sdn Bhd,MY,Malaysia,,,50200,,
226,Hewlett-Packard (Thailand) Ltd.,TH,Thailand,Bangkok,Bangkok,10500,Soi Charoen Krung 32,
227,HEWLETT-PACKARD ApS,DK,Denmark,Capital Region Of Denmark,Lillerød,3450,Engholm Parkvej,8
228,HEWLETT-PACKARD NORGE AS,NO,Norway,Viken,Bærum,1364,Rolfsbuktveien,4F
229,"Hewlett Packard Singapore (Sales) Pte., Ltd.",SG,Singapore,Central,Singapore,109842,Depot Close,1
23,Agg Power Technology (Fuzhou) Co Ltd.,CN,China,Fujian,Fuzhou City,,,
230,HEWLETT-PACKARD SVERIGE AB,SE,Sweden,,,,,
231,"HIGH TOUCH, INC.",US,United States,California,Los Angeles,90064,West Pico Boulevard,10917
232,HOLDSPORT.DK ApS,DK,Denmark,Central Denmark Region,Aarhus,8000,Graven,3B
233,HOPPECKE BATTERIEN GMBH & CO. KG,DE,Germany,,,,,
234,HP INC (THAILAND) COMPANY LIMITED,TH,Thailand,Bangkok,Bang Rak District,10500,,
235,HP INC DANMARK ApS,DK,Denmark,Capital Region Of Denmark,Lillerød,3450,Engholm Parkvej,8
236,HP NORGE AS,NO,Norway,Viken,Bærum,1364,Rolfsbuktveien,4F
237,Hp Pps Sales Sdn. Bhd.,MY,Malaysia,Kuala Lumpur,Kuala Lumpur,50490,Jalan Gelenggang,
238,HP PPS SINGAPORE (SALES) PTE. LTD.,SG,Singapore,Central,Bukit Merah,109842,Depot Close,1
239,HUAWEI INTERNATIONAL PTE. LTD.,SG,Singapore,,,,,
24,AIA Berhad,MY,Malaysia,,Kuala Lumpur,50450,Jalan Ampang,99
240,Huawei Technologies (Bangladesh) Limited.,BD,Bangladesh,,,,,
241,HUAWEI TECHNOLOGIES (DENMARK) ApS,DK,Denmark,Capital Region Of Denmark,Copenhagen,2450,,
242,Huawei Technologies (Malaysia) Sdn. Bhd.,MY,Malaysia,Kuala Lumpur,Kuala Lumpur,50400,Jalan Tun Razak,
243,"HUAWEI TECHNOLOGIES (THAILAND) CO., LTD.",TH,Thailand,Bangkok,Bangkok,10310,,
244,HUAWEI TECHNOLOGIES NORWAY AS,NO,Norway,Viken,Bærum,1364,Rolfsbuktveien,4C
245,HUAWEI TECHNOLOGIES PAKISTAN (PRIVATE) LIMITED,PK,Pakistan,Islamabad Capital Territory,Islamabad,44000,Jinnah Avenue,
246,Huawei Technologies Sweden AB,SE,Sweden,,,,,
247,HUBER+SUHNER A/S,DK,Denmark,Capital Region Of Denmark,Furesø Municipality,3500,,
248,Huber+Suhner AG,CH,Switzerland,Appenzell Ausserrhoden,Herisau,9100,Degersheimerstrasse,14
249,HUBER+SUHNER ELECTRONICS PRIVATE LIMITED,IN,India,Delhi,New Delhi,110001,Tolstoy Marg,1
25,AIG EUROPE S.A. NUF,NO,Norway,Oslo,Oslo,160,Rosenkrantz’ Gate,22
250,Hum Network Limited,PK,Pakistan,Sindh,Saddar Town,74000,,
251,Human Edge Management AG,CH,Switzerland,Basel-City,Basel,4059,Faidostrasse,9
252,Hydro Energi AS,NO,Norway,Oslo,Oslo,283,Drammensveien,264
253,IBM DANMARK A/S,DK,Denmark,,,,,
254,Idemia France SAS,FR,France,,,,,
255,OBERTHUR TECHNOLOGIES NORWAY AS,NO,Norway,Rogaland,Stavanger,4034,Godesetdalen,10
256,"IKANO BANK, FILIAL AF IKANO BANK AB (PUBL), SVERIGE",DK,Denmark,Capital Region Of Denmark,Glostrup,2600,Stationsparken,24
257,Imi Mobile Vas Limited,BD,Bangladesh,,,,,
258,IMIMOBILE EUROPE LIMITED,GB,United Kingdom,England,London,EC1M 4BH,St. John's Lane,5
259,INDEPENDENT MEDIA CORPORATION (PRIVATE) LIMITED.,PK,Pakistan,Sindh,Karachi,74400,I.I. Chundrigar Road,
26,AKTIESELSKABET RODOVRE CENTRUM,DK,Denmark,Capital Region Of Denmark,Rødovre Municipality,2610,Rødovre Centrum,202
260,INFINERA CORPORATION,US,United States,California,San Jose,95119,San Ignacio Avenue,6373
261,INFOMEDIA A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,1112,,
262,INFOSYS LIMITED,IN,India,Karnataka,Bengaluru,560100,Hosur Road,
263,Ingram Micro Mobility Sweden AB,SE,Sweden,,,,,
264,inlumi ApS,DK,Denmark,Capital Region Of Denmark,Ballerup Municipality,2740,Mileparken,22
265,INSIDER SECURITY PTE. LTD.,SG,Singapore,Central,Singapore,808038,Mimosa Crescent,81
266,INTEGRITY RISK INTERNATIONAL LLC,US,United States,Virginia,Reston,20191,Commerce Park Drive,11440
267,Intouch Insight Inc.,CA,Canada,Ontario,Ottawa,K2K 3H4,March Road,400
268,Intrum Debt Finance AG,CH,Switzerland,Zug,Zoug,6300,Industriestrasse,13c
269,ADVIS A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,2500,Kirsten Walthers Vej,7
27,ALLEN OVERY SHEARMAN STERLING LLP,GB,United Kingdom,England,London,E1 6AD,Bishops Square,
270,IPG MEDIABRANDS (SINGAPORE) PTE. LTD.,SG,Singapore,,,,,
271,Ipsos Sdn. Bhd.,MY,Malaysia,,,59200,,
272,ISS Facility Services A/S,DK,Denmark,Capital Region Of Denmark,Gladsaxe Municipality,2860,Gyngemose Parkvej,50
273,ISS FACILITY SERVICES AB,SE,Sweden,,,,,
274,ISS FACILITY SERVICES AS,NO,Norway,Oslo,Oslo,195,Smeltedigelen,1
275,ISS GLOBAL A/S,DK,Denmark,Capital Region Of Denmark,Gladsaxe Municipality,2860,Buddingevej,197
276,ITECTRA A/S,DK,Denmark,North Denmark Region,Aalborg Municipality,9200,Sofiendalsvej,85
277,JACK OF DIGITAL (PRIVATE) LIMITED,PK,Pakistan,Sindh,Saddar Town,75500,,
278,AEON DANMARK A/S,DK,Denmark,Region Of Southern Denmark,Vejle,7100,Dianavej,13
279,Jastel Network Co Ltd,TH,Thailand,Nonthaburi Province,Pak Kret City Municipality,11120,,
28,ALTAIR GLOBAL RELOCATION SINGAPORE PTE. LTD.,SG,Singapore,Central,Singapore,68804,Shenton Way,2
280,JLL Corporate Solutions AB,SE,Sweden,,,,,
281,JOB-INDEX A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,2500,Carl Jacobsens Vej,31
282,JOBSTREET.COM PTE LTD,SG,Singapore,Central,Singapore,78881,Wallich Street,1
283,JOHNSON CONTROLS DENMARK APS,DK,Denmark,Central Denmark Region,Aarhus,8270,Christian X's Vej,201
284,JONES LANG LASALLE PROPERTY CONSULTANTS PTE LTD,SG,Singapore,Southeast,,408533,Paya Lebar Link,1
285,Kahoot! Denmark ApS,DK,Denmark,Capital Region Of Denmark,Copenhagen,1620,Vesterbrogade,1L
286,KAMTOWER DANMARK A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,1421,3,3
287,KANTAR TNS AS,NO,Norway,Oslo,Oslo,187,Lakkegata,23
288,"Kaon Broadband Co.,Ltd.",KR,South Korea,Gyeonggi,Seongnam-si,,,
289,KERRY FREIGHT PAKISTAN (PRIVATE) LIMITED,PK,Pakistan,,,,,
29,"AMAZON WEB SERVICES, INC.",US,United States,Washington,Seattle,98109,Terry Avenue North,410
290,Kerry Logistics Network Limited,HK,Hong Kong,Hong Kong,Kwai Chung,,Wing Kei Road,55
291,KINLY HOLDING AS,NO,Norway,Rogaland,Stavanger,4033,Kanalsletta,3
292,KINNARPS A/S,DK,Denmark,Capital Region Of Denmark,Brøndby,2605,Roskildevej,522
293,KLM-ROYAL DUTCH AIRLINES Filial av utenlandsk foretak.,NO,Norway,Oslo,Oslo,255,Henrik Ibsens Gate,20
294,KM TELECOM DANMARK A/S,DK,Denmark,Region Of Southern Denmark,Fredericia Municipality,7000,Navervej,12
295,KMD Venture A/S,DK,Denmark,Capital Region Of Denmark,Ballerup,2750,Lautrupparken,40
296,KODA,DK,Denmark,Capital Region Of Denmark,Copenhagen,2100,Lautrupsgade,9
297,KOLEGRUPPEN OST ApS,DK,Denmark,Capital Region Of Denmark,Ishøj Municipality,2635,Broenge,2
298,KOMMANDITAKTIESELSKABET FREDERIKSSUND SHOPPINGCENTER,DK,Denmark,North Denmark Region,Aalborg,9000,Vestre Havnepromenade,7
299,KORN FERRY (UK) LIMITED,GB,United Kingdom,England,London,SW1Y 6QB,Ryder Street,"Ryder Court, 14"
3,3 STEP IT AS,NO,Norway,Oslo,Oslo,167,Wergelandsveien,7
30,AMAZON WEB SERVICES EMEA SARL,LU,Luxembourg,,,,,
300,Kpmg AS Hovedkontor,NO,Norway,Oslo,Oslo,369,,
301,KROLL ASSOCIATES U.K. LIMITED,GB,United Kingdom,England,London,SE1 9SG,London Bridge Street,"The Shard, 32"
302,Kromann Reumert,DK,Denmark,Capital Region Of Denmark,Copenhagen,2100,Sundkrogsgade,5
303,LOXYSOFT AS,NO,Norway,Oslo,Oslo,694,Olaf Helsets Vei,6
304,LEASE PLAN FINANS A/S,DK,Denmark,Capital Region Of Denmark,Brøndby,2605,Midtager,20
305,LeasePlan Sverige AB,SE,Sweden,Stockholm County,Solna,,,
306,LEOCH BATTERY PTE. LTD.,SG,Singapore,Central,Singapore,169608,Hospital Crescent,1
307,LINKEDIN IRELAND UNLIMITED COMPANY,IE,Ireland,Leinster,Dublin 2,D02 F540,Sir John Rogerson's Quay,70
308,LINKEDIN SINGAPORE PTE. LTD.,SG,Singapore,Central,Singapore,189767,Beach Road,38
309,L.M. Ericsson Bangladesh Ltd.,BD,Bangladesh,,,,,
31,"AMAZON WEB SERVICES EMEA SARL, NORWEGIAN BRANCH",NO,Norway,Oslo,Oslo,161,,
310,SCANOPTIK A/S,DK,Denmark,North Denmark Region,Aalborg,9210,Indkildevej,2A
311,LOYALTY AS,NO,Norway,Oslo,Oslo,473,,
312,MAKIO ApS,DK,Denmark,Capital Region Of Denmark,Copenhagen,1127,Hauser Plads,32
313,Manpower Student AB,SE,Sweden,Stockholm County,Solna,16937,Evenemangsgatan,21
314,MANPOWER AS,NO,Norway,Oslo,Oslo,187,Lakkegata,53
315,Mapspeople A/S,DK,Denmark,North Denmark Region,Nørresundby,9400,Stigsborgvej,60
316,MARKEDSSJEFENE AS,NO,Norway,Oslo,Oslo,164,Kristian Augusts Gate,13
317,JLT Denmark A/S,DK,Denmark,Capital Region Of Denmark,Lyngby-Taarbæk Municipality,2830,Teknikerbyen,
318,MARSH & MCLENNAN AGENCIES AS,NO,Norway,Oslo,Oslo,275,,
319,Maven Wireless Sweden AB,SE,Sweden,Stockholm County,Stockholms Kommun,16440,Torshamnsgatan,39
32,AMDOCS DEVELOPMENT LIMITED,CY,Cyprus,Limassol District,Limassol,3085,,
320,MAVENIR SYSTEMS AB,SE,Sweden,Stockholm County,Solna,16941,Garvis Carlssons Gata,141
321,MAVENIR SYSTEMS LIMITED,GB,United Kingdom,England,Reading,RG2 6DH,Reading International Business Park,
322,MAVENIR SYSTEMS UK LIMITED,GB,United Kingdom,England,Reading,RG2 6DH,Reading International Business Park,
323,Measat Satellite Systems Sdn. Bhd.,MY,Malaysia,Selangor,Sepang,63000,,
324,Media Times Limited,PK,Pakistan,Punjab,Lahore District,,,
325,MEISEL EIENDOM AS,NO,Norway,Viken,Lier,3414,Husebysletta,39
326,META PLATFORMS IRELAND LIMITED,IE,Ireland,Leinster,,,,
327,MICROSOFT IRELAND OPERATIONS LIMITED,IE,Ireland,Leinster,Dublin,D02 F540,Sir John Rogerson's Quay,70
328,MICROSOFT NORGE AS,NO,Norway,Oslo,Oslo,194,Dronning Eufemias Gate,71
329,MICROSOFT REGIONAL SALES PTE. LTD.,SG,Singapore,Central,Singapore,48624,Raffles Place,80
33,"American Express Europe Denmark, filial af American Express Europe S.A., Spanien",DK,Denmark,Capital Region Of Denmark,Copenhagen,2300,,
330,ABC KANTINEAUTOMATER ApS,DK,Denmark,Capital Region Of Denmark,Høje-Taastrup Municipality,2630,,
331,NW GRUPPEN A/S,DK,Denmark,Central Denmark Region,Hedensted,8722,Snedkervej,5
332,"MIXPANEL, INC.",US,United States,California,San Francisco,94111,Front Street,
333,MNEMONIC AS,NO,Norway,Oslo,Oslo,255,Henrik Ibsens Gate,100
334,MobilePeople ApS,DK,Denmark,Capital Region Of Denmark,Herlev Municipality,2730,,
335,"MOBILEUM, INC.",US,United States,California,Cupertino,95014,Stevens Creek Boulevard,20813
336,MODULEX DANMARK A/S,DK,Denmark,Region Of Southern Denmark,Billund,7190,,
337,Monday. Kum Ltd.,IL,Israel,Tel Aviv District,Tel Aviv-Yafo,,,
338,Mustika Teratai Sdn. Bhd.,MY,Malaysia,Johor,Johor Bahru,81100,,
339,NAGARRO AS,NO,Norway,Oslo,Oslo,153,Kongens Gate,14
34,American Express Europe SA (Norway),NO,Norway,Oslo,Oslo,191,Dronning Eufemias Gate,16
340,NAGARRO ENTERPRISE SERVICES PRIVATE LIMITED,IN,India,Delhi,Punjabi Bagh,110026,,
341,NEC CORPORATION,JP,Japan,Tokyo,Tokyo,,,
342,NEC CORPORATION OF MALAYSIA SDN. BHD.,MY,Malaysia,Kuala Lumpur,Kuala Lumpur,,,
343,NEC Scandinavia Aktiebolag,SE,Sweden,Stockholm County,Stockholms Kommun,,,
344,NEMTILMELD.DK ApS,DK,Denmark,North Denmark Region,Nørresundby,9400,Strømmen,6
345,Nepa AB,SE,Sweden,Stockholm County,Stockholm,11853,Maria Skolgata,83
